set,book,pattern,newB
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
02,0003,1,7777
